,,,,
Topic,Subtopic,Question,Answer,Problem difficulty
Numpy,Applied patterns and advanced,"Given a sorted array C that corresponds to a bincount, how to produce an array A such that np.bincount(A) == C? (★★★)","# Author: Jaime Fernández del Río

C = np.bincount([1,1,2,3,4,4,6])
A = np.repeat(np.arange(len(C)), C)
print(A)",85
Numpy,Core array literacy,Create a checkerboard 8x8 matrix using the tile function (★☆☆),"Z = np.tile( np.array([[0,1],[1,0]]), (4,4))
print(Z)",20
Numpy,Vectorization and broadcasting,"Standardize each column of a 2D array (zero mean, unit variance) safely (★★★)","Z = np.random.randn(5, 4)
mu = Z.mean(axis=0, keepdims=True)
sd = Z.std(axis=0, ddof=0, keepdims=True)
Zz = (Z - mu) / np.where(sd==0, 1, sd)
print(Zz.mean(0), Zz.std(0))",84
Numpy,Indexing and selection,Create random vector of size 10 and replace the maximum value by 0 (★★☆),"Z = np.random.random(10)
Z[Z.argmax()] = 0
print(Z)",54
Numpy,Vectorization and broadcasting,Sum each column of a 3x3 matrix (★☆☆),"Z = np.arange(9).reshape(3,3); print(Z.sum(axis=0))",16
Numpy,Core array literacy,Print the numpy version and the configuration (★☆☆),"print(np.__version__) 
np.show_config()",12
Numpy,Applied patterns and advanced,"How to get the dates of yesterday, today and tomorrow? (★☆☆)","yesterday = np.datetime64('today') - np.timedelta64(1)
today     = np.datetime64('today')
tomorrow  = np.datetime64('today') + np.timedelta64(1)",34
Numpy,Core array literacy,Import only the `arange` function as `ar` (★☆☆),from numpy import arange as ar,10
Numpy,Core array literacy,Convert a list of lists to a numpy array (★☆☆),"Z = np.array([[1,2],[3,4]]); print(Z)",10
Numpy,Core array literacy,Create a vector of ones of size 10 (★☆☆),Z = np.ones(10); print(Z),10
Numpy,Core array literacy,Import the numpy package under the name `np` (★☆☆),import numpy as np,10
Numpy,Core array literacy,Create a null vector of size 10 (★☆☆),"Z = np.zeros(10)
print(Z)",10
Numpy,Core array literacy,Create a 3x3 identity matrix (★☆☆),"Z = np.eye(3)
print(Z)",12
Numpy,Core array literacy,Create a vector with values ranging from 10 to 49 (★☆☆),"Z = np.arange(10,50)
print(Z)",12
Numpy,Core array literacy,Cast an integer array to float32 (★☆☆),Z = np.arange(5); print(Z.astype(np.float32)),12
Numpy,Core array literacy,Set elements 3..7 of a zero vector to 5 (★☆☆),Z = np.zeros(10); Z[3:8] = 5; print(Z),12
Numpy,Indexing and selection,Create mask for multiples of 3 from 0..29 (★☆☆),Z = np.arange(30); print(Z % 3 == 0),12
Numpy,Core array literacy,Reverse a vector (first element becomes last) (★☆☆),"Z = np.arange(50)
Z = Z[::-1]
print(Z)",12
Numpy,Vectorization and broadcasting,Compute cumulative sum of a vector 0..4 (★☆☆),Z = np.arange(5); print(np.cumsum(Z)),14
Numpy,Vectorization and broadcasting,Sort a random vector of size 10 in-place (★☆☆),Z = np.random.random(10); Z.sort(); print(Z),14
Numpy,Indexing and selection,Create a mask of values > 0.5 in a random 3x3 array (★☆☆),"Z = np.random.random((3,3)); print(Z > 0.5)",16
Numpy,Indexing and selection,Compute the trace of a 4x4 random matrix (★☆☆),"Z = np.random.random((4,4)); print(np.trace(Z))",18
Numpy,Core array literacy,Stack two 2x2 arrays vertically and horizontally (★☆☆),"a = np.ones((2,2)); b = np.zeros((2,2)); print(np.vstack([a,b])); print(np.hstack([a,b]))",20
Numpy,Applied patterns and advanced,Multiply a 5x3 matrix by a 3x2 matrix (real matrix product) (★☆☆),"Z = np.matmul(np.ones((5, 3)), np.ones((3, 2)))
print(Z)

# Alternative solution, in Python 3.5 and above
Z = np.ones((5,3)) @ np.ones((3,2))
print(Z)",26
Numpy,Vectorization and broadcasting,How to round away from zero a float array ? (★☆☆),"# Author: Charles R Harris

Z = np.random.uniform(-10,+10,10)
print(np.copysign(np.ceil(np.abs(Z)), Z))

# More readable but less efficient
print(np.where(Z>0, np.ceil(Z), np.floor(Z)))",30
Numpy,Indexing and selection,How to find common values between two arrays? (★☆☆),"Z1 = np.random.randint(0,10,10)
Z2 = np.random.randint(0,10,10)
print(np.intersect1d(Z1,Z2))",30
Numpy,Core array literacy,"Create a vector of size 10 with values ranging from 0 to 1, both excluded (★★☆)","Z = np.linspace(0,1,11,endpoint=False)[1:]
print(Z)",46
Einsum,Vectorization and broadcasting,"Given a batch of vectors $u$ and $v$, create a batch of matrices where every element of $u$ is multiplied by every element of $v$.","einsum(u, v, 'b i, b j -> b i j')",30
Einsum,Core array literacy,Swap the rows and columns of a 2D matrix $A$.,"einsum(A, 'i j -> j i')",20
Einsum,Core array literacy,Multiply two vectors element-wise and sum the results into a single scalar.,"einsum(v1, v2, 'i, i ->')",30
Einsum,Vectorization and broadcasting,"Given two matrices $A$ and $B$, compute the product and return only the values along the diagonal (row $i$, column $i$).","einsum(A, B, 'i k, k i -> i')",50
Einsum,Core array literacy,Reduce a 2D matrix into a 1D vector by summing along the vertical (row) axis.,"einsum(A, 'i j -> j')",20
Einsum,Vectorization and broadcasting,Take two matrices and compute the dot product for every possible pair of rows between them.,"einsum(X, Y, 'n d, m d -> n m')",35
Einsum,Vectorization and broadcasting,"For a batch of images, square every pixel value and sum them all up per image.","einsum(X, X, 'b c h w, b c h w -> b')",35
Einsum,Vectorization and broadcasting,"For each item in a batch, compute the similarity between its own internal feature vectors.","einsum(A, A, 'b i d, b j d -> b i j')",50
Einsum,Applied patterns and advanced,"Apply a single weight vector to every token in a batch, reducing the hidden dimension via a dot product.","einsum(X, v, 'b t d, d -> b t')",25
Einsum,Applied patterns and advanced,"Perform a triple-contraction: use a vector to select a weighted combination of a matrix, then dot that result with the vector again.","einsum(x, W, x, 'i, i j, j ->')",55
Einsum,Applied patterns and advanced,"Compare two feature maps by dot-producting the channel dimension at every spatial $(h, w)$ location.","einsum(F, G, 'c h w, c h w -> h w')",40
Einsum,Applied patterns and advanced,"Combine attention weights with values by summing over the ""keys"" dimension.","einsum(S, V, 'b h q k, b h k d -> b h q d')",50
Einsum,Vectorization and broadcasting,"Multiply rows by a weight vector and sum them, then normalize (weighted sum).","einsum(w, A, 'n, n d -> d') / w.sum()",35
Einsum,Core array literacy,"Create a matrix where every element $(i, j)$ is the product of $v1[i]$ and $v2[j]$.","einsum(v1, v2, 'i, j -> i j')",35
Einsum,Indexing and selection,Extract only the elements where the row index and column index are equal.,"einsum(A, 'i i -> i')",30
Einsum,Vectorization and broadcasting,Multiply a matrix by its own transpose to find the correlation between its columns.,"einsum(X, X, 'n d, n e -> d e')",40
Einsum,Applied patterns and advanced,Compute the variance/covariance by contracting the batch dimension of mean-centered data.,"einsum(X-mu, X-mu, 'n d, n e -> d e') / (n-1)",55
Einsum,Core array literacy,Standard matrix-matrix multiplication: sum over the shared inner dimension.,"einsum(C, D, 'i k, k j -> i j')",40
Einsum,Core array literacy,Collapse a 1D tensor into a single number by summing all elements.,"einsum(x, 'i ->')",15
Einsum,Core array literacy,Multiply a matrix by a vector to produce a new vector.,"einsum(A, b, 'i j, j -> i')",35
Einsum,Applied patterns and advanced,"Compute the ""raw"" attention scores by comparing Query and Key vectors across a batch.","einsum(Q, K, 'b h q d, b h k d -> b h q k')",45
Einsum,Applied patterns and advanced,Perform three matrix multiplications in a row in a single operation.,"einsum(A, B, C, 'i k, k m, m p -> i p')",45
Einsum,Applied patterns and advanced,"In a batch of tensors, multiply the inner matrices together per batch item.","einsum(T, U, 'a i j, a j k -> a i k')",45
Einsum,Indexing and selection,"For a batch of square matrices, get the sum of the diagonal for each matrix.","einsum(A, 'b i i -> b')",30
Einsum,Core array literacy,Flatten two matrices and find their dot product (element-wise multiplication then global sum).,"einsum(A, B, 'i j, i j ->')",30
Einsum,Vectorization and broadcasting,Apply a batch of matrices to a batch of vectors (one-to-one mapping).,"einsum(A, x, 'b i j, b j -> b i')",35
Einsum,Applied patterns and advanced,Blend image channels into a single spatial map using specific channel weights.,"einsum(img, w, 'c h w, c -> h w')",30
Einsum,Applied patterns and advanced,Compute the total sum of element-wise products between two 3D tensors.,"einsum(A, B, 'a b c, a b c ->')",30
Einsum,Indexing and selection,"Rearrange a 4D tensor (e.g., move the color channel from the second position to the last).","einsum(T, 'b c h w -> b h w c')",25
Einsum,Applied patterns and advanced,Transform the feature dimension of a sequence using a projection matrix.,"einsum(X, M, 'b t c, c f -> b t f')",35
Einsum,Indexing and selection,"For a batch of matrices, extract the diagonal values as a batch of vectors.","einsum(A, 'b i i -> b i')",35
Einsum,Core array literacy,Reduce a 2D matrix into a 1D vector by summing along the horizontal (column) axis.,"einsum(A, 'i j -> i')",20
Einsum,Applied patterns and advanced,Create a massive tensor where every element of $A$ is multiplied by every element of $B$.,"einsum(A, B, 'p q, r s -> p r q s')",90
Einsum,Vectorization and broadcasting,Perform standard matrix multiplication independently for every item in a batch.,"einsum(A, B, 'b i k, b k j -> b i j')",40
Einsum,Indexing and selection,Sum the diagonal elements of a single square matrix.,"einsum(A, 'i i ->')",30
Einsum,Core array literacy,"Given a vector v of size (n), create a square matrix where every element (i, j) is v[i] * v[j].","einsum(v, v, 'i, j -> i j')",35
Einsum,Core array literacy,"You have a batch of vectors x with shape (b, d) and a transformation matrix W of shape (d, d). Apply W to every vector in the batch.","einsum(x, W, 'b d, d e -> b e')",45
Einsum,Indexing and selection,"You have a 4D tensor activations with shape (b, h, s, d). Sum out the h dimension entirely to get a shape of (b, s, d).","einsum(activations, 'b h s d -> b s d')",30
Einsum,Vectorization and broadcasting,"Take a vector v of shape (d) and ""repeat"" it n times to create a matrix of shape (n, d).","einsum(v, 'd -> n d', n=n)",50
Einsum,Core array literacy,"Given a 3D tensor data of shape (b, t, d), calculate the average across the t dimension by summing it and dividing by its length.","einsum(data, 'b t d -> b d') / t",35
Einsum,Applied patterns and advanced,"You have input x (shape b, i), weights W1 (shape i, h), and W2 (shape h, o). Compute the full pass (x @ W1) @ W2 in one go.","einsum(x, W1, W2, 'b i, i h, h o -> b o')",80
Einsum,Vectorization and broadcasting,"For a batch of vectors v of shape (b, d), calculate the squared length (dot product with itself) for each vector.","einsum(v, v, 'b d, b d -> b')",40
Einsum,Indexing and selection,"You have a tensor T with shape (batch, head, seq, dim). Swap the head and seq axes.","einsum(T, 'b h s d -> b s h d')",45
Einsum,Applied patterns and advanced,"Given a query vector q of shape (d) and a memory matrix M of shape (n, d), find the similarity of q to every row in M.","einsum(q, M, 'd, n d -> n')",55
Einsum,Vectorization and broadcasting,"Given a batch of vectors x of shape (b, d), create a batch of matrices (b, d, d) showing how every feature interacts with every other feature.","einsum(x, x, 'b d, b e -> b d e')",65
Einsum,Applied patterns and advanced,"Project input x (shape b, t, d) into three different spaces (Q, K, V) simultaneously using a weight tensor W of shape (3, d, d).","einsum(x, W, 'b t d, n d e -> n b t e')",90
Einsum,Core array literacy,"Given a 3D tensor X of shape (b, t, d), sum all values belonging to the same t and d across all batches.","einsum(X, 'b t d -> t d')",35
Einsum,Core array literacy,Take any tensor X of any dimensionality and sum every single element into a single scalar.,"einsum(X, '... ->')",15
Einsum,Applied patterns and advanced,"Multiply an image img (shape c, h, w) by a per-channel scale factor s (shape c).","einsum(img, s, 'c h w, c -> c h w')",50
Einsum,Vectorization and broadcasting,"Perform the operation u @ v.T where u and v are vectors of shape (m) and (n), then add the result to matrix A (shape m, n).","einsum(u, v, 'i, j -> i j') + A",60
Einsum,Indexing and selection,"From a 3D tensor A of shape (b, n, n), extract only the very first element (0, 0) of each matrix in the batch.","einsum(A, 'b i j -> b i j')[:, 0, 0]",55
Einsum,Applied patterns and advanced,"Contract a weight tensor W (shape o, i, h, w) against an input X (shape i, h, w) to produce an output vector of shape (o).","einsum(W, X, 'o i h w, i h w -> o')",80
Einsum,Indexing and selection,"Given a 4D tensor X (shape b, c, h, w), sum all pixels and channels to get one value per batch item.","einsum(X, 'b c h w -> b')",40
Einsum,Vectorization and broadcasting,"You have a sequence x of shape (t, d). Create a 3D tensor (t, t, d) where each entry (i, j) is the element-wise product of vector i and vector j.","einsum(x, x, 'i d, j d -> i j d')",100
Einsum,Vectorization and broadcasting,"You have a batch of matrices B (shape b, i, j) and one constant matrix M (shape j, k). Multiply every matrix in the batch by M.","einsum(B, M, 'b i j, j k -> b i k')",65
Einsum,Core array literacy,"Given two matrices A and B of shape (n, n), compute the sum of the diagonal of their product without calculating the full product.","einsum(A, B, 'i j, j i ->')",60
Einsum,Vectorization and broadcasting,"Given queries (shape b, q, d) and keys (shape b, k, d), compute a score matrix of shape (b, q, k).","einsum(b q d, b k d -> b q k')",75
Einsum,Indexing and selection,"Take a 3D tensor img (shape c, h, w) and flatten the spatial dimensions into one, resulting in shape (c, h*w).","einops.rearrange(img, 'c h w -> c (h w)')",40
Einsum,Applied patterns and advanced,"You have two tensors P and Q of shape (b, h, n, d). For each batch and head, compute the similarity matrix of shape (n, n).","einsum(P, Q, 'b h n d, b h m d -> b h n m')",85
Einsum,Applied patterns and advanced,"For a 5D video tensor v (shape b, t, c, h, w), average out everything except the batch and channel dimensions.","einsum(v, 'b t c h w -> b c') / (t*h*w)",70
Einsum,Core array literacy,Subtract the transpose of a square matrix A from itself to find the anti-symmetric part.,"einsum(A, 'i j -> i j') - einsum(A, 'j i -> i j')",45
Einsum,Indexing and selection,"Given x (shape b, t, d), sum across the d dimension using a weight vector w (shape d) to get shape (b, t).","einsum(x, w, 'b t d, d -> b t')",50
Einsum,Applied patterns and advanced,"In an MLP, multiply hidden states h (shape b, t, hidden) by output weights W (shape hidden, out).","einsum(h, W, 'b t h, h d -> b t d')",65
Einsum,Applied patterns and advanced,"Compute the scalar result of $v^T M v$ where v is shape (d) and M is shape (d, d).","einsum(v, M, v, 'i, i j, j ->')",85
Einsum,Indexing and selection,"Create an identity-like batch: given a vector of scales s (shape b), create a batch of diagonal matrices (b, n, n).","einsum(s, torch.eye(n), 'b, i j -> b i j')",70
Einsum,Applied patterns and advanced,"Given a sequence x of shape (t, d), compute the dot product between each token and the token immediately following it.","einsum(x[:-1], x[1:], 't d, t d -> t')",60
Einsum,Applied patterns and advanced,"You have a multi-head tensor x (shape b, t, h, d) and a head-importance weight w (shape h). Weighted-sum the heads into shape (b, t, d).","einsum(x, w, 'b t h d, h -> b t d')",70
Einsum,Vectorization and broadcasting,"For each item in a batch of vectors v (shape b, d), compute v @ v.T and sum those resulting matrices together.","einsum(v, v, 'b i, b j -> i j')",65
Einsum,Applied patterns and advanced,"Multiply matrix A (shape i, j) by a diagonal matrix (represented as vector v, shape j), then by matrix B (shape j, k).","einsum(A, v, B, 'i j, j, j k -> i k')",85
Einsum,Core array literacy,"Using a permutation matrix P (shape n, n) and a vector v (shape n), reorder the elements of v.","einsum(P, v, 'i j, j -> i')",50
